ImageNumber;ObjectNumber;Metadata_Image_ID;Compound;Target;Concentration;replicate;Inhibitor_concentration_repl;Target_Concentration
1;1;11329;Mock;Mock;0;1;Mock_0_1;Mock_0
1;2;11329;Mock;Mock;0;2;Mock_0_2;Mock_0
1;3;11329;Mock;Mock;0;3;Mock_0_3;Mock_0
1;4;11329;Mock;Mock;0;1;Mock_0_1;Mock_0
1;5;11329;Mock;Mock;0;2;Mock_0_2;Mock_0
1;6;11329;Mock;Mock;0;3;Mock_0_3;Mock_0
2;1;11330;BI-DI870;RSK1234;0.032;1;BI-DI870_0.032_1;RSK1234_0.032
2;2;11330;BI-DI870;RSK1234;0.032;2;BI-DI870_0.032_2;RSK1234_0.032
2;3;11330;BI-DI870;RSK1234;0.032;3;BI-DI870_0.032_3;RSK1234_0.032
2;4;11330;BI-DI870;RSK1234;0;1;BI-DI870_0_1;RSK1234_0
2;5;11330;BI-DI870;RSK1234;0;2;BI-DI870_0_2;RSK1234_0
2;6;11330;BI-DI870;RSK1234;0;3;BI-DI870_0_3;RSK1234_0
3;1;11332;BI-DI870;RSK1234;0.8;1;BI-DI870_0.8_1;RSK1234_0.8
3;2;11332;BI-DI870;RSK1234;0.8;2;BI-DI870_0.8_2;RSK1234_0.8
3;3;11332;BI-DI870;RSK1234;0.8;3;BI-DI870_0.8_3;RSK1234_0.8
3;4;11332;BI-DI870;RSK1234;0.16;1;BI-DI870_0.16_1;RSK1234_0.16
3;5;11332;BI-DI870;RSK1234;0.16;2;BI-DI870_0.16_2;RSK1234_0.16
3;6;11332;BI-DI870;RSK1234;0.16;3;BI-DI870_0.16_3;RSK1234_0.16
4;1;11333;BI-DI870;RSK1234;20;1;BI-DI870_20_1;RSK1234_x20
4;2;11333;BI-DI870;RSK1234;20;2;BI-DI870_20_2;RSK1234_x20
4;3;11333;BI-DI870;RSK1234;20;3;BI-DI870_20_3;RSK1234_x20
4;4;11333;BI-DI870;RSK1234;4;1;BI-DI870_4_1;RSK1234_4
4;5;11333;BI-DI870;RSK1234;4;2;BI-DI870_4_2;RSK1234_4
4;6;11333;BI-DI870;RSK1234;4;3;BI-DI870_4_3;RSK1234_4
5;1;11334;PF4708371;P70RS6K;0.032;1;PF4708371_0.032_1;P70RS6K_0.032
5;2;11334;PF4708371;P70RS6K;0.032;2;PF4708371_0.032_2;P70RS6K_0.032
5;3;11334;PF4708371;P70RS6K;0.032;3;PF4708371_0.032_3;P70RS6K_0.032
5;4;11334;PF4708371;P70RS6K;0;1;PF4708371_0_1;P70RS6K_0
5;5;11334;PF4708371;P70RS6K;0;2;PF4708371_0_2;P70RS6K_0
5;6;11334;PF4708371;P70RS6K;0;3;PF4708371_0_3;P70RS6K_0
6;1;11335;PF4708371;P70RS6K;0.8;1;PF4708371_0.8_1;P70RS6K_0.8
6;2;11335;PF4708371;P70RS6K;0.8;2;PF4708371_0.8_2;P70RS6K_0.8
6;3;11335;PF4708371;P70RS6K;0.8;3;PF4708371_0.8_3;P70RS6K_0.8
6;4;11335;PF4708371;P70RS6K;0.16;1;PF4708371_0.16_1;P70RS6K_0.16
6;5;11335;PF4708371;P70RS6K;0.16;2;PF4708371_0.16_2;P70RS6K_0.16
6;6;11335;PF4708371;P70RS6K;0.16;3;PF4708371_0.16_3;P70RS6K_0.16
7;1;11336;PF4708371;P70RS6K;20;1;PF4708371_20_1;P70RS6K_x20
7;2;11336;PF4708371;P70RS6K;20;2;PF4708371_20_2;P70RS6K_x20
7;3;11336;PF4708371;P70RS6K;20;3;PF4708371_20_3;P70RS6K_x20
7;4;11336;PF4708371;P70RS6K;4;1;PF4708371_4_1;P70RS6K_4
7;5;11336;PF4708371;P70RS6K;4;2;PF4708371_4_2;P70RS6K_4
7;6;11336;PF4708371;P70RS6K;4;3;PF4708371_4_3;P70RS6K_4
8;1;11337;WZ4003;NUAK12;20;1;WZ4003_20_1;NUAK12_x20
8;2;11337;WZ4003;NUAK12;20;2;WZ4003_20_2;NUAK12_x20
8;3;11337;WZ4003;NUAK12;20;3;WZ4003_20_3;NUAK12_x20
8;4;11337;WZ4003;NUAK12;4;1;WZ4003_4_1;NUAK12_4
8;5;11337;WZ4003;NUAK12;4;2;WZ4003_4_2;NUAK12_4
8;6;11337;WZ4003;NUAK12;4;3;WZ4003_4_3;NUAK12_4
9;1;11338;WZ4003;NUAK12;0.8;1;WZ4003_0.8_1;NUAK12_0.8
9;2;11338;WZ4003;NUAK12;0.8;2;WZ4003_0.8_2;NUAK12_0.8
9;3;11338;WZ4003;NUAK12;0.8;3;WZ4003_0.8_3;NUAK12_0.8
9;4;11338;WZ4003;NUAK12;0.16;1;WZ4003_0.16_1;NUAK12_0.16
9;5;11338;WZ4003;NUAK12;0.16;2;WZ4003_0.16_2;NUAK12_0.16
9;6;11338;WZ4003;NUAK12;0.16;3;WZ4003_0.16_3;NUAK12_0.16
10;1;11339;WZ4003;NUAK12;0.032;1;WZ4003_0.032_1;NUAK12_0.032
10;2;11339;WZ4003;NUAK12;0.032;2;WZ4003_0.032_2;NUAK12_0.032
10;3;11339;WZ4003;NUAK12;0.032;3;WZ4003_0.032_3;NUAK12_0.032
10;4;11339;WZ4003;NUAK12;0;1;WZ4003_0_1;NUAK12_0
10;5;11339;WZ4003;NUAK12;0;2;WZ4003_0_2;NUAK12_0
10;6;11339;WZ4003;NUAK12;0;3;WZ4003_0_3;NUAK12_0
11;1;11340;Harmine;DYRK1A;0.032;1;Harmine_0.032_1;DYRK1A_0.032
11;2;11340;Harmine;DYRK1A;0.032;2;Harmine_0.032_2;DYRK1A_0.032
11;3;11340;Harmine;DYRK1A;0.032;3;Harmine_0.032_3;DYRK1A_0.032
11;4;11340;Harmine;DYRK1A;0;1;Harmine_0_1;DYRK1A_0
11;5;11340;Harmine;DYRK1A;0;2;Harmine_0_2;DYRK1A_0
11;6;11340;Harmine;DYRK1A;0;3;Harmine_0_3;DYRK1A_0
12;1;11341;Harmine;DYRK1A;0.8;1;Harmine_0.8_1;DYRK1A_0.8
12;2;11341;Harmine;DYRK1A;0.8;2;Harmine_0.8_2;DYRK1A_0.8
12;3;11341;Harmine;DYRK1A;0.8;3;Harmine_0.8_3;DYRK1A_0.8
12;4;11341;Harmine;DYRK1A;0.16;1;Harmine_0.16_1;DYRK1A_0.16
12;5;11341;Harmine;DYRK1A;0.16;2;Harmine_0.16_2;DYRK1A_0.16
12;6;11341;Harmine;DYRK1A;0.16;3;Harmine_0.16_3;DYRK1A_0.16
13;1;11342;Harmine;DYRK1A;20;1;Harmine_20_1;DYRK1A_x20
13;2;11342;Harmine;DYRK1A;20;2;Harmine_20_2;DYRK1A_x20
13;3;11342;Harmine;DYRK1A;20;3;Harmine_20_3;DYRK1A_x20
13;4;11342;Harmine;DYRK1A;4;1;Harmine_4_1;DYRK1A_4
13;5;11342;Harmine;DYRK1A;4;2;Harmine_4_2;DYRK1A_4
13;6;11342;Harmine;DYRK1A;4;3;Harmine_4_3;DYRK1A_4
14;1;11343;AG1478;EGFR__;20;1;AG1478_20_1;EGFR___x20
14;2;11343;AG1478;EGFR__;20;2;AG1478_20_2;EGFR___x20
14;3;11343;AG1478;EGFR__;20;3;AG1478_20_3;EGFR___x20
14;4;11343;AG1478;EGFR__;4;1;AG1478_4_1;EGFR___4
14;5;11343;AG1478;EGFR__;4;2;AG1478_4_2;EGFR___4
14;6;11343;AG1478;EGFR__;4;3;AG1478_4_3;EGFR___4
15;1;11344;AG1478;EGFR__;0.8;1;AG1478_0.8_1;EGFR___0.8
15;2;11344;AG1478;EGFR__;0.8;2;AG1478_0.8_2;EGFR___0.8
15;3;11344;AG1478;EGFR__;0.8;3;AG1478_0.8_3;EGFR___0.8
15;4;11344;AG1478;EGFR__;0.16;1;AG1478_0.16_1;EGFR___0.16
15;5;11344;AG1478;EGFR__;0.16;2;AG1478_0.16_2;EGFR___0.16
15;6;11344;AG1478;EGFR__;0.16;3;AG1478_0.16_3;EGFR___0.16
16;1;11345;AG1478;EGFR__;0.032;1;AG1478_0.032_1;EGFR___0.032
16;2;11345;AG1478;EGFR__;0.032;2;AG1478_0.032_2;EGFR___0.032
16;3;11345;AG1478;EGFR__;0.032;3;AG1478_0.032_3;EGFR___0.032
16;4;11345;AG1478;EGFR__;0;1;AG1478_0_1;EGFR___0
16;5;11345;AG1478;EGFR__;0;2;AG1478_0_2;EGFR___0
16;6;11345;AG1478;EGFR__;0;3;AG1478_0_3;EGFR___0
